,index,Adversaire,Date,Lieu,Genre,Infos,Victoire,Score vainqueur,Score perdant,Score mi-temps vainqueur,Score mi-temps perdant,Année,Compétition
718,?refer=match&param=1720&GET_CAT=1,SERBIE,1985-06-06,KARLSRUHE,Championnat d'Europe,06/06/1985 à KARLSRUHE  (Allemagne),False,110,89,65.0,40.0,1985,Championnat d'Europe 1985
719,?refer=match&param=1721&GET_CAT=1,POLOGNE,1985-06-07,KARLSRUHE,Championnat d'Europe,07/06/1985 à KARLSRUHE  (Allemagne),False,97,94,46.0,34.0,1985,Championnat d'Europe 1985
720,?refer=match&param=1722&GET_CAT=1,ROUMANIE,1985-06-08,KARLSRUHE,Championnat d'Europe,08/06/1985 à KARLSRUHE  (Allemagne),True,110,97,55.0,59.0,1985,Championnat d'Europe 1985
721,?refer=match&param=1723&GET_CAT=1,ESPAGNE,1985-06-09,KARLSRUHE,Championnat d'Europe,09/06/1985 à KARLSRUHE  (Allemagne),False,109,83,62.0,34.0,1985,Championnat d'Europe 1985
722,?refer=match&param=1724&GET_CAT=1,ITALIE,1985-06-11,STUTTGART,Championnat d'Europe,11/06/1985 à STUTTGART  (Allemagne),False,97,71,38.0,39.0,1985,Championnat d'Europe 1985
723,?refer=match&param=1725&GET_CAT=1,BULGARIE,1985-06-13,STUTTGART,Championnat d'Europe,13/06/1985 à STUTTGART  (Allemagne),True,107,105,39.0,51.0,1985,Championnat d'Europe 1985
724,?refer=match&param=1726&GET_CAT=1,ALLEMAGNE,1985-06-15,STUTTGART,Championnat d'Europe,15/06/1985 à STUTTGART  (Allemagne),False,100,81,49.0,42.0,1985,Championnat d'Europe 1985
725,?refer=match&param=2128&GET_CAT=1,GRECE,1985-11-21,EQUEURDREVILLE-HAINNEVILLE,Qualifications Championnat du Monde,21/11/1985 à EQUEURDREVILLE-HAINNEVILLE  (France),False,130,126,41.0,43.0,1985,Qualifications Championnat du Monde
726,?refer=match&param=2129&GET_CAT=1,POLOGNE,1985-11-28,KATOWICE,Qualifications Championnat du Monde,28/11/1985 à KATOWICE  (Pologne),True,107,87,56.0,41.0,1985,Qualifications Championnat du Monde
727,?refer=match&param=1362&GET_CAT=1,TCHECOSLOVAQUIE,1985-12-28,PARIS,Amical,28/12/1985 à PARIS  (France),True,92,90,48.0,43.0,1985,Amical
728,?refer=match&param=1363&GET_CAT=1,URSS,1985-12-29,PARIS,Amical,29/12/1985 à PARIS  (France),False,110,103,53.0,66.0,1985,Amical
729,?refer=match&param=2130&GET_CAT=1,BULGARIE,1986-02-13,LAVAL,Qualifications Championnat du Monde,13/02/1986 à LAVAL  (France),True,102,93,47.0,47.0,1986,Qualifications Championnat du Monde
730,?refer=match&param=1364&GET_CAT=1,URSS,1986-06-14,KARLSRUHE,Amical,14/06/1986 à KARLSRUHE  (Allemagne),False,119,90,62.0,46.0,1986,Amical
